hole9.cnf,-1,90,10,405,90,10,405,0.000
23.shuffled.cnf,0,198,155,319,0,0,0,0.000
4.shuffled.cnf,0,198,155,319,0,0,0,0.000
42.shuffled.cnf,0,378,295,609,0,0,0,0.000
61.shuffled.cnf,0,378,295,609,0,0,0,0.000
Mat25.shuffled.cnf,-1,588,1168,800,588,1168,800,0.000
Mat26.shuffled.cnf,-1,744,1504,960,744,1504,960,0.000
Mat27.shuffled.cnf,-1,900,1840,1120,900,1840,1120,0.000
bart10.shuffled.cnf,-1,144,104,456,144,104,456,0.000
bart11.shuffled.cnf,-1,162,117,567,162,117,567,0.000
bart12.shuffled.cnf,-1,180,130,690,180,130,690,0.000
bart13.shuffled.cnf,-1,176,126,633,176,126,633,0.000
bart14.shuffled.cnf,-1,195,140,765,195,140,765,0.000
bart15.shuffled.cnf,-1,215,154,916,215,154,916,0.000
bart16.shuffled.cnf,-1,210,150,840,210,150,840,0.000
bart17.shuffled.cnf,-1,231,165,1001,231,165,1001,0.000
bart18.shuffled.cnf,-1,252,180,1176,252,180,1176,0.000
bart19.shuffled.cnf,-1,248,176,1098,248,176,1098,0.000
bart20.shuffled.cnf,-1,270,192,1284,270,192,1284,0.000
bart21.shuffled.cnf,-1,293,208,1492,293,208,1492,0.000
bart22.shuffled.cnf,-1,288,204,1392,288,204,1392,0.000
bart23.shuffled.cnf,-1,312,221,1612,312,221,1612,0.000
bart24.shuffled.cnf,-1,336,238,1848,336,238,1848,0.000
bart25.shuffled.cnf,-1,378,266,2142,378,266,2142,0.000
bart26.shuffled.cnf,-1,405,285,2430,405,285,2430,0.000
bart27.shuffled.cnf,-1,432,304,2736,432,304,2736,0.000
bart28.shuffled.cnf,-1,428,300,2607,428,300,2607,0.000
bart29.shuffled.cnf,-1,456,320,2928,456,320,2928,0.000
bart30.shuffled.cnf,-1,485,340,3277,485,340,3277,0.000
ca002.shuffled.cnf,0,26,38,30,0,0,0,0.000
ca004.shuffled.cnf,-1,60,92,74,51,89,88,0.000
ca008.shuffled.cnf,-1,130,202,166,119,199,204,0.000
ca016.shuffled.cnf,-1,272,424,354,259,421,447,0.000
ca032.shuffled.cnf,-1,558,870,734,543,867,951,0.000
ca064.shuffled.cnf,-1,1132,1764,1498,1115,1761,1951,0.000
ca128.shuffled.cnf,-1,2282,3554,3030,2263,3551,4015,0.000
dp02s02.shuffled.cnf,-1,238,249,428,3,4,3,0.000
dp02u01.shuffled.cnf,0,134,133,239,0,0,0,0.000
dp03s03.shuffled.cnf,-1,506,537,927,199,227,474,0.000
dp03u02.shuffled.cnf,0,350,365,639,0,0,0,0.000
dp04s04.shuffled.cnf,-1,1075,1146,1996,573,687,1540,0.000
dp04u03.shuffled.cnf,-1,825,873,1530,274,335,663,0.000
dp05s05.shuffled.cnf,-1,1639,1734,3072,1143,1300,2813,0.000
dp05u04.shuffled.cnf,-1,1330,1400,2492,739,858,2005,0.000
dp06u05.shuffled.cnf,-1,2055,2173,3868,1423,1639,3601,0.000
ezfact16_1.shuffled.cnf,0,193,1096,0,0,0,0,0.000
ezfact16_10.shuffled.cnf,0,193,1096,0,0,0,0,0.000
ezfact16_2.shuffled.cnf,0,193,1096,0,0,0,0,0.000
ezfact16_3.shuffled.cnf,0,193,1096,0,0,0,0,0.000
ezfact16_4.shuffled.cnf,0,193,1096,0,0,0,0,0.000
ezfact16_5.shuffled.cnf,0,193,1096,0,0,0,0,0.000
ezfact16_6.shuffled.cnf,0,193,1096,0,0,0,0,0.000
ezfact16_7.shuffled.cnf,0,193,1096,0,0,0,0,0.000
ezfact16_8.shuffled.cnf,0,193,1096,0,0,0,0,0.000
ezfact16_9.shuffled.cnf,0,193,1096,0,0,0,0,0.000
ezfact32_1.shuffled.cnf,-1,769,4744,0,673,4392,0,0.000
ezfact32_10.shuffled.cnf,-1,769,4744,0,673,4360,0,0.000
ezfact32_2.shuffled.cnf,-1,769,4744,0,673,4400,0,0.000
ezfact32_3.shuffled.cnf,-1,769,4744,0,673,4368,0,0.000
ezfact32_4.shuffled.cnf,-1,769,4744,0,673,4376,0,0.000
ezfact32_5.shuffled.cnf,-1,769,4744,0,673,4368,0,0.000
ezfact32_6.shuffled.cnf,-1,769,4744,0,673,4352,0,0.000
ezfact32_7.shuffled.cnf,-1,769,4744,0,673,4376,0,0.000
ezfact32_8.shuffled.cnf,-1,769,4744,0,673,4368,0,0.000
ezfact32_9.shuffled.cnf,-1,769,4744,0,673,4352,0,0.000
f1000.shuffled.cnf,-1,1000,4250,0,1000,4250,0,0.000
f600.shuffled.cnf,-1,600,2550,0,600,2550,0,0.000
glassy-sat-sel_N210_n.shuffled.cnf,-1,210,980,0,210,980,0,0.000
grid_05_05.shuffled.cnf,-1,48,76,5,48,76,5,0.000
grid_05_10.shuffled.cnf,-1,98,166,5,98,166,5,0.000
grid_10_10.shuffled.cnf,-1,198,356,5,198,356,5,0.000
grid_10_15.shuffled.cnf,-1,298,546,5,298,546,5,0.000
grid_10_20.shuffled.cnf,-1,398,736,5,398,736,5,0.000
grid_15_15.shuffled.cnf,-1,448,836,5,448,836,5,0.000
grid_15_20.shuffled.cnf,-1,598,1126,5,598,1126,5,0.000
grid_20_20.shuffled.cnf,-1,798,1516,5,798,1516,5,0.000
hanoi4.shuffled.cnf,-1,718,2325,2481,432,1263,1108,0.000
homer06.shuffled.cnf,-1,180,20,810,180,20,810,0.000
homer07.shuffled.cnf,-1,198,22,990,198,22,990,0.000
homer08.shuffled.cnf,-1,216,24,1188,216,24,1188,0.000
homer09.shuffled.cnf,-1,270,30,1890,270,30,1890,0.000
homer10.shuffled.cnf,-1,360,40,3420,360,40,3420,0.000
homer11.shuffled.cnf,-1,220,22,1100,220,22,1100,0.000
homer12.shuffled.cnf,-1,240,24,1320,240,24,1320,0.000
homer13.shuffled.cnf,-1,260,26,1560,260,26,1560,0.000
homer14.shuffled.cnf,-1,300,30,2100,300,30,2100,0.000
homer15.shuffled.cnf,-1,400,40,3800,400,40,3800,0.000
homer16.shuffled.cnf,-1,264,24,1452,264,24,1452,0.000
homer17.shuffled.cnf,-1,286,26,1716,286,26,1716,0.000
homer18.shuffled.cnf,-1,308,28,2002,308,28,2002,0.000
homer19.shuffled.cnf,-1,330,30,2310,330,30,2310,0.000
homer20.shuffled.cnf,-1,440,40,4180,440,40,4180,0.000
lisa19_0_a.shuffled.cnf,-1,1201,5722,800,1094,5244,1181,0.000
lisa19_1_a.shuffled.cnf,-1,1201,5722,800,1101,5285,1149,0.000
lisa19_3_a.shuffled.cnf,-1,1201,5722,800,1092,5234,1193,0.000
lisa19_99_a.shuffled.cnf,-1,1201,5722,800,1101,5288,1191,0.000
lisa20_0_a.shuffled.cnf,-1,1201,5722,800,1108,5322,1140,0.000
lisa20_1_a.shuffled.cnf,-1,1201,5722,800,1109,5331,1144,0.000
lisa20_2_a.shuffled.cnf,-1,1201,5722,800,1101,5283,1140,0.000
lisa20_3_a.shuffled.cnf,-1,1201,5722,800,1112,5347,1149,0.000
lisa20_99_a.shuffled.cnf,-1,1201,5722,800,1064,5269,1040,0.000
lisa21_0_a.shuffled.cnf,-1,1453,6954,968,1347,6494,1437,0.000
lisa21_1_a.shuffled.cnf,-1,1453,6954,968,1346,6493,1427,0.000
lisa21_2_a.shuffled.cnf,-1,1453,6954,968,1340,6452,1394,0.000
lisa21_3_a.shuffled.cnf,-1,1453,6954,968,1348,6500,1386,0.000
lisa21_99_a.shuffled.cnf,-1,1453,6954,968,1347,6494,1439,0.000
med11.shuffled.cnf,-1,341,372,5144,140,143,1460,0.000
med17.shuffled.cnf,-1,782,917,17639,346,348,5072,0.000
med19.shuffled.cnf,-1,1159,1382,34829,459,512,8266,0.000
par32-1-c.shuffled.cnf,-1,1315,4882,372,1313,4876,674,0.000
par32-2-c.shuffled.cnf,-1,1303,4834,372,1301,4828,674,0.000
par32-3-c.shuffled.cnf,-1,1325,4922,372,1323,4916,675,0.000
par32-4-c.shuffled.cnf,-1,1333,4954,372,1331,4948,677,0.000
par32-5-c.shuffled.cnf,-1,1339,4978,372,1337,4972,676,0.000
